Cycle Number,Charge Capacity,Discharge Capacity,Minimum Differential Capacity,Maximum Differential Capacity,Maximum Cumulative Capacity,Charge Energy,Discharge Energy,Minimum Differential Energy,Maximum Differential Energy,Maximum Cumulative Energy,Coulombic Efficiency,Energy Efficiency,Voltage Efficiency,Minimum Potential,Maximum Potential,Mean Charge Potential,Mean Discharge Potential,Maximum Open Circuit Potential,Minimum Open Circuit Potential,Charge Relaxation Potential,Discharge Relaxation Potential,Constant Voltage Charge Time,Other Charge Time,Total Charge Time,Constant Voltage Discharge Time,Other Discharge Time,Total Discharge Time,Rest Time,Other Cycle Time,Total Cycle Time,Maximum Charge Power,Maximum Discharge Power,Mean Charge Power,Mean Discharge Power,Internal Resistance Charge,Internal Resistance Discharge,Minimum Potential Datapoint,Maximum Potential Datapoint,Charge Relaxation Potential Datapoint,Discharge Relaxation Potential Datapoint,Maximum Open Circuit Potential Datapoint,Minimum Open Circuit Potential Datapoint
1,0.0,0.151763877184,0.0,0.151763877184,0.151763877184,0.0,0.87177821818,0.0,0.87177821818,0.87177821818,None,None,None,5.499757,6.467822,None,5.74387364747,None,5.875601,None,5.7377405,None,None,None,None,2818.99087673,2818.99087673,1800.07676346,None,4619.06764019,None,1.20448397661,None,1.11330675504,None,1.20755529414,48,1,None,49,None,108
2,0.139023646591,0.137797675058,0.0127402305929,0.151763877184,0.428585198833,0.900861340301,0.799874217366,-0.0290831221208,0.87177821818,2.57251377585,0.991181561098,0.88789937095,0.895798918986,5.499757,6.6002045,6.53320677841,5.79444456487,None,5.874079,None,5.741697,2860.82022577,1407.56598918,4268.38621495,None,2519.56118097,2519.56118097,1800.0131251,None,8587.96052102,1.34041513727,1.23306184686,0.759795543741,1.14287646764,None,1.22982529151,224,134,None,225,None,284
3,0.0775120013193,0.0852214081184,0.0730259043314,0.15824731245,0.591318608271,0.495488541549,0.484469065437,0.275302553696,0.770791095245,3.55247138283,1.09946081468,0.977760381546,0.889308985356,5.499757,6.6002045,6.40320369351,5.67509430421,6.207622,5.871036,6.341222,5.745349,None,1371.22128804,1371.22128804,None,1556.36145415,1556.36145415,3600.08497286,None,6527.66771504,1.34505692909,1.17155831137,1.30085403803,1.12061926934,1.27082908162,1.24616168683,395,309,310,396,369,455
4,0.0776742437264,0.0797904393589,0.0805730687234,0.160363508082,0.748783291356,0.496630377479,0.453222296577,0.263141241654,0.759771619133,4.50232405689,1.02724449613,0.912594793089,0.888391027188,5.499757,6.6002045,6.40446974187,5.67021651604,6.196058,5.8719487,6.3363523,5.7486963,None,1374.48759285,1374.48759285,None,1456.96423258,1456.96423258,3601.13944682,None,6432.59127226,1.33933077701,1.16843391606,1.30075336309,1.11986295284,1.30146168935,1.26540401418,565,480,481,566,540,625
5,0.0765494341355,0.0773555913103,0.0838140739467,0.161169665257,0.902688316802,0.489575721456,0.43923074154,0.226787816775,0.716363538231,5.43113051988,1.01053119705,0.897166101769,0.887816333024,5.499757,6.6002045,6.4064036504,5.66793382516,6.190275,5.8719487,6.335135,5.750218,None,1354.92435002,1354.92435002,None,1412.51877586,1412.51877586,3600.04106302,None,6367.4841889,1.34288625789,1.1650932878,1.30079040738,1.11944046094,1.30294627051,1.26634855217,734,650,651,735,710,794
6,0.0766928355197,0.0758910560145,0.0844768297373,0.161169665257,1.05527220834,0.490321612036,0.430908182803,0.175696946278,0.666018558315,6.35236031472,0.989545574892,0.87882763522,0.888112339156,5.499757,6.6002045,6.40487962467,5.66759602261,6.1921015,5.8743834,6.3342223,5.752044,None,1394.17922271,1394.17922271,None,1386.19158617,1386.19158617,3600.05389377,None,6380.42470264,1.34273603318,1.16479341276,1.26609102659,1.11908734231,1.30743263752,1.27785285346,904,820,821,905,880,964
7,0.073484393371,0.0733018712928,0.0868834923808,0.160367885752,1.202058473,0.470212758363,0.415878366029,0.136392370719,0.606605129081,7.23845143912,0.997516179017,0.884447218058,0.886649496682,5.499757,6.6002045,6.40991577287,5.66296882937,6.181754,5.8746877,6.329962,5.7523484,None,1301.34351651,1301.34351651,None,1337.93733162,1337.93733162,3600.0587596,None,6239.33960773,1.347377825,1.16055987299,1.3007833125,1.11900765628,1.32379777334,1.28167743698,1071,988,989,1072,1048,1131
8,0.0727968189156,0.0719760856279,0.087388544758,0.160185363674,1.34683137754,0.465830626722,0.408283005181,0.0864401100254,0.552270736748,8.11256507102,0.988725698459,0.876462348673,0.88645652686,5.499757,6.6002045,6.41017314961,5.66175632439,6.1799283,5.875905,6.3281355,5.752957,None,1289.61003841,1289.61003841,None,1312.90691589,1312.90691589,3600.11480471,None,6202.63175901,1.34505692909,1.16197459525,1.30038554777,1.11951487258,1.33504463586,1.27792508573,1237,1155,1156,1238,1215,1297
9,0.0721713228463,0.0710862060585,0.0871933075397,0.159364630386,1.49008890645,0.461866384973,0.403170012523,0.0328567302336,0.494723115206,8.97760146852,0.984964709736,0.872914820478,0.886239691483,5.499757,6.6002045,6.41087566554,5.66096391863,6.1802325,5.876514,6.3278313,5.7526526,None,1278.9672134,1278.9672134,None,1297.01477005,1297.01477005,3600.13657535,None,6176.1185588,1.34041513727,1.16368735362,1.30004817049,1.11904049098,1.34116571078,1.28093545877,1403,1321,1322,1404,1381,1463
10,0.0716425497885,0.0704602330036,0.0866369638097,0.158279513598,1.63219168924,0.458485844716,0.399566810437,-0.0224591019591,0.436026742757,9.83565412367,0.983497002991,0.871492141016,0.88611570586,5.499757,6.6005087,6.41105073928,5.66015909338,6.1784067,5.8752966,6.327223,5.7526526,None,1269.52824533,1269.52824533,None,1285.95514236,1285.95514236,3600.05695958,None,6155.54034726,1.34511892207,1.16338686455,1.30012786013,1.1185775228,1.34101499194,1.28093545877,1569,1487,1488,1570,1547,1629
11,0.0720206753212,0.0707485322281,0.0850765214921,0.157097196813,1.77496089679,0.460917140712,0.401242752484,-0.0838094322344,0.377107708478,10.6978140169,0.982336418154,0.870531201908,0.886184392455,5.499757,6.6002045,6.41093955616,5.66065060764,6.178711,5.8749924,6.3281355,5.7523484,None,1277.2671704,1277.2671704,None,1292.25150617,1292.25150617,3600.07963076,None,6169.59830732,1.34273603318,1.16161472944,1.29910307336,1.11779626647,1.33735223732,1.27939466263,1735,1653,1654,1736,1713,1795
12,0.0741799789399,0.0723479104972,0.0816450747802,0.15582505372,1.92148878623,0.474021369021,0.410556015412,-0.156588048771,0.31743332025,11.5823914013,0.975302386588,0.866112884869,0.88804548905,5.499757,6.6002045,6.40565733575,5.66399125489,6.188145,5.769695,6.332092,5.7514353,None,1365.48311357,1365.48311357,None,1321.33015402,1321.33015402,1860.09782036,None,4546.91108795,1.34273603318,1.16115867102,1.24972393398,1.11857104826,1.31790410421,1.27932685238,1903,1820,1821,1904,1880,1905
